axis_x,axis_y,r_mutual,discriminant_power,variance_iris,interpretability,orthogonality,orthogonality_norm,discriminant_power_norm,variance_iris_norm,interpretability_norm,composite_score
score_precarite,score_pca_pc4_démographie_chauffage,0.26,14.45,618.29,0.0455,0.74,0.7376387487386478,0.42174432497013137,0.554611615575649,0.3089579524680073,0.5261681543464711
score_pca_pc1_logement_confort,score_pca_pc7_logement_csp,0.264,17.39,664.44,0.0312,0.736,0.7336024217961655,0.5095579450418161,0.5988627973650652,0.047531992687385706,0.5253283656796062
score_pca_pc2_composition_diplômes,score_lda_axe2,0.053,13.84,397.96,0.04,0.947,0.9465186680121089,0.4035244922341696,0.3433469810434266,0.2084095063985375,0.5251199948540579
score_urbanite,score_pca_pc1_logement_confort,0.978,29.74,1082.79,0.0333,0.022,0.013118062563067608,0.8784348864994025,1.0,0.08592321755027428,0.5242761116762523
score_precarite,score_pca_pc5_équipements_csp,0.236,13.87,571.11,0.0476,0.764,0.7618567103935419,0.4044205495818398,0.5093728126108678,0.3473491773308959,0.5240811445935144
score_exploitation,score_ruralite,0.109,13.6,382.89,0.0476,0.891,0.8900100908173563,0.39635603345280757,0.3288970285067743,0.3473491773308959,0.5236094212546787
score_cap_eco,score_ruralite,0.114,14.02,393.86,0.0455,0.886,0.8849646821392533,0.4089008363201911,0.33941567345216755,0.3089579524680073,0.5228315249144775
score_urbanite,score_pca_pc6_équipements_diplômes,0.188,14.1,599.97,0.037,0.812,0.81029263370333,0.4112903225806451,0.5370453826312914,0.15356489945155388,0.5174832144582162
score_precarite,score_lda_axe1,0.361,13.67,464.3,0.0667,0.639,0.6357214934409687,0.39844683393070485,0.4069574555810186,0.6965265082266909,0.5160433072582447
score_confort_residentiel,score_pca_pc1_logement_confort,0.967,28.28,1060.45,0.0357,0.033,0.02421796165489405,0.8348267622461171,0.9785791679051885,0.1297989031078611,0.514640424329826
score_confort_residentiel,score_pca_pc6_équipements_diplômes,0.161,12.63,577.64,0.04,0.839,0.8375378405650857,0.36738351254480284,0.5156341390915804,0.2084095063985375,0.5142338353383035
score_exploitation,score_confort_residentiel,0.358,16.12,610.66,0.0455,0.642,0.6387487386478304,0.4716248506571087,0.5472955480338668,0.3089579524680073,0.5124961218013115
score_domination,score_rentier,0.135,12.68,495.48,0.0417,0.865,0.863773965691221,0.36887694145758654,0.4368545703847888,0.23948811700182818,0.5115332508447537
score_pca_pc7_logement_csp,score_peripherie_metropole,0.343,17.17,493.06,0.0476,0.657,0.6538849646821393,0.5029868578255675,0.4345341400504359,0.3473491773308959,0.5112200942533119
score_cap_eco,score_confort_residentiel,0.378,16.55,621.62,0.0435,0.622,0.6185671039354188,0.484468339307049,0.5578046044241594,0.2723948811700182,0.5075542029984274
score_ruralite,score_peripherie_metropole,0.886,25.53,661.3,0.0625,0.114,0.10595358224016146,0.7526881720430108,0.5958519910634666,0.6197440585009141,0.5073589418749326
score_pca_pc4_démographie_chauffage,score_peripherie_metropole,0.437,17.81,585.73,0.0476,0.563,0.5590312815338042,0.5221027479091995,0.5233912801679916,0.3473491773308959,0.5072259788615938
score_domination,score_ruralite,0.18,15.53,469.5,0.0357,0.82,0.8183652875882946,0.45400238948626037,0.41194350423334714,0.1297989031078611,0.506268958909528
score_domination,score_equipement_public,0.058,7.67,612.11,0.0417,0.942,0.941473259334006,0.2192353643966547,0.5486858885234585,0.23948811700182818,0.504834750593997
score_pca_pc2_composition_diplômes,score_pca_pc3_équipements_démographie,0.302,15.87,668.24,0.0323,0.698,0.6952573158425832,0.4641577060931899,0.6025064483033052,0.06764168190127974,0.5016799338312444
score_cap_cult,score_ruralite,0.406,17.51,504.09,0.0476,0.594,0.5903128153380424,0.5131421744324971,0.44511031632643283,0.3473491773308959,0.49781804551770764
score_cap_cult,score_pca_pc8_équipements_logement,0.023,8.85,398.45,0.0455,0.977,0.9767911200807265,0.2544802867383512,0.3438168202433576,0.3089579524680073,0.4972124933015134
score_exploitation,score_equipement_public,0.121,5.74,525.51,0.0588,0.879,0.8779011099899092,0.1615890083632019,0.46564900135198634,0.5521023765996343,0.4958716426844359
score_lda_axe1,score_peripherie_metropole,0.566,17.04,431.74,0.0714,0.434,0.42885973763874874,0.4991039426523297,0.37573712017336114,0.7824497257769654,0.4958591841211571
score_cap_eco,score_equipement_public,0.12,6.17,536.47,0.0556,0.88,0.8789101917255298,0.17443249701314215,0.47615805774227893,0.49360146252285186,0.4939962623991422
score_rentier,score_pca_pc8_équipements_logement,0.068,5.98,414.18,0.0588,0.932,0.9313824419778003,0.1687574671445639,0.35889961741665155,0.5521023765996343,0.4930751260672129
score_pca_pc1_logement_confort,score_lda_axe2,0.421,17.34,608.29,0.04,0.579,0.5751765893037336,0.5080645161290323,0.545023060475017,0.2084095063985375,0.49064159549106534
score_ruralite,score_pca_pc5_équipements_csp,0.007,9.18,371.09,0.0417,0.993,0.992936427850656,0.264336917562724,0.31758253348802873,0.23948811700182818,0.4898385737500301
score_ruralite,score_pca_pc1_logement_confort,0.843,25.75,832.69,0.037,0.157,0.1493440968718466,0.7592592592592592,0.7601902369331967,0.15356489945155388,0.4856167521066671
score_confort_residentiel,score_pca_pc7_logement_csp,0.197,11.64,553.36,0.0385,0.803,0.8012108980827447,0.3378136200716846,0.4923531273072462,0.1809872029250457,0.4842167423501191
score_cap_cult,score_pca_pc4_démographie_chauffage,0.055,9.79,428.52,0.0385,0.945,0.9445005045408678,0.2825567502986857,0.37264960543095765,0.1809872029250457,0.4839230154917487
score_equipement_public,score_lda_axe1,0.041,1.13,406.89,0.0714,0.959,0.958627648839556,0.023894862604540015,0.3519095607482909,0.7824497257769654,0.4837008675796588
score_pca_pc2_composition_diplômes,score_pca_pc5_équipements_csp,0.216,13.97,499.6,0.0323,0.784,0.7820383451059536,0.4074074074074074,0.4408050550862491,0.06764168190127974,0.47551135942682043
score_pca_pc2_composition_diplômes,score_pca_pc7_logement_csp,0.178,13.9,454.11,0.0312,0.822,0.8203834510595358,0.4053166069295101,0.39718671793347465,0.047531992687385706,0.47454299023299207
score_urbanite,score_confort_residentiel,0.952,23.99,971.7,0.0417,0.048,0.039354187689202826,0.7066905615292711,0.8934807413870806,0.23948811700182818,0.47376731866969607
score_confort_residentiel,score_pca_pc8_équipements_logement,0.341,11.35,615.97,0.0455,0.659,0.6559031281533805,0.32915173237753875,0.5523870707923024,0.3089579524680073,0.46879515180681425
score_cap_cult,score_lda_axe1,0.11,9.02,274.52,0.0526,0.89,0.8890010090817356,0.25955794504181595,0.22498585688122658,0.4387568555758684,0.4683562832017818
score_urbanite,score_pca_pc7_logement_csp,0.29,13.1,575.69,0.0357,0.71,0.7073662966700303,0.38142174432497006,0.5137643708469573,0.1297989031078611,0.46793020915031913
score_urbanite,score_lda_axe2,0.362,13.05,519.54,0.0476,0.638,0.6347124117053481,0.37992831541218636,0.4599246339569091,0.3473491773308959,0.46747593729688586
score_cap_cult,score_pca_pc3_équipements_démographie,0.246,11.11,549.97,0.04,0.754,0.751765893037336,0.3219832735961768,0.48910260712813197,0.2084095063985375,0.4673058610552697
score_pca_pc1_logement_confort,score_pca_pc4_démographie_chauffage,0.539,18.04,757.12,0.0312,0.461,0.45610494450050454,0.5289725209080047,0.6877295260377215,0.047531992687385706,0.4666475697786051
score_urbanite,score_pca_pc8_équipements_logement,0.384,12.81,638.3,0.0417,0.616,0.6125126135216953,0.37275985663082434,0.5737983143320133,0.23948811700182818,0.46490261429397395
score_rentier,score_pca_pc7_logement_csp,0.03,6.27,351.57,0.0476,0.97,0.9697275479313824,0.17741935483870963,0.2988656739315953,0.3473491773308959,0.46489054995891654
score_confort_residentiel,score_lda_axe2,0.363,11.58,497.2,0.0526,0.637,0.6337033299697276,0.33602150537634407,0.4385038018620975,0.4387568555758684,0.46123281458143844
score_rentier,score_pca_pc6_équipements_diplômes,0.117,7.26,375.86,0.05,0.883,0.8819374369323916,0.2069892473118279,0.32215627427103016,0.3912248628884827,0.4601424519263357
score_ruralite,score_confort_residentiel,0.758,20.0,721.6,0.0476,0.242,0.23511604439959635,0.5875149342891278,0.653670978320277,0.3473491773308959,0.4590016125847634
score_cap_cult,score_lda_axe2,0.163,9.09,279.69,0.0526,0.837,0.8355196770938446,0.26164874551971323,0.2299431398682533,0.4387568555758684,0.4540351203700839
score_rentier,score_pca_pc4_démographie_chauffage,0.165,6.91,444.25,0.0476,0.835,0.8335015136226034,0.19653524492234167,0.3877324026042516,0.3473491773308959,0.44848664693008533
score_ruralite,score_urbanite,0.822,21.46,743.94,0.0435,0.178,0.1705348133198789,0.6311230585424134,0.6750918104150887,0.2723948811700182,0.4479311087443288
score_rentier,score_pca_pc5_équipements_csp,0.14,6.33,397.07,0.05,0.86,0.858728557013118,0.17921146953405015,0.34249359963947035,0.3912248628884827,0.4475250308020194
score_pca_pc2_composition_diplômes,score_pca_pc6_équipements_diplômes,0.341,14.89,478.39,0.0323,0.659,0.6559031281533805,0.4348864994026284,0.4204677297178089,0.06764168190127974,0.4432210114656878
score_domination,score_pca_pc4_démographie_chauffage,0.029,7.81,393.93,0.0303,0.971,0.970736629667003,0.22341696535244918,0.33948279333787196,0.03107861060329068,0.4419752770315261
score_domination,score_lda_axe2,0.0,7.11,245.1,0.0385,1.0,1.0,0.2025089605734767,0.1967763277751676,0.1809872029250457,0.43738148219450723
score_exploitation,score_pca_pc8_équipements_logement,0.013,4.94,277.26,0.0455,0.987,0.9868819374369324,0.13769414575866187,0.22761312097879974,0.3089579524680073,0.43612384931257236
score_cap_cult,score_pca_pc7_logement_csp,0.146,9.15,335.84,0.0385,0.854,0.8526740665993945,0.26344086021505375,0.28378287675830133,0.1809872029250457,0.43191117684550423
score_domination,score_pca_pc8_équipements_logement,0.05,6.87,363.86,0.0345,0.95,0.9495459132189706,0.19534050179211468,0.3106500081502719,0.10786106032906768,0.4315421102723459
score_cap_eco,score_pca_pc8_équipements_logement,0.035,5.37,288.22,0.0435,0.965,0.9646821392532795,0.15053763440860213,0.2381221773690923,0.2723948811700182,0.4305764814683158
score_pca_pc1_logement_confort,score_lda_axe1,0.619,17.26,603.13,0.04,0.381,0.3753784056508577,0.5056750298685783,0.540075366043091,0.2084095063985375,0.42887628131765854
score_equipement_public,score_pca_pc4_démographie_chauffage,0.133,1.91,560.89,0.0476,0.867,0.8657921291624622,0.04719235364396654,0.49957330929802196,0.3473491773308959,0.4282720009833657
score_equipement_public,score_lda_axe2,0.23,1.2,412.06,0.0714,0.77,0.7679112008072654,0.025985663082437268,0.3568668437353176,0.7824497257769654,0.428209169934641
score_exploitation,score_precarite,0.787,18.28,582.92,0.0556,0.213,0.20585267406659938,0.5361409796893668,0.5206968961847139,0.49360146252285186,0.4275847437266288
score_ruralite,score_pca_pc8_équipements_logement,0.267,8.82,388.2,0.0476,0.733,0.7305751765893037,0.253584229390681,0.3339885512652099,0.3473491773308959,0.4268271201162058
score_cap_eco,score_pca_pc6_équipements_diplômes,0.024,6.66,249.89,0.0385,0.976,0.9757820383451059,0.18906810035842292,0.20136924566837025,0.1809872029250457,0.4263303762014106
score_ruralite,score_pca_pc6_équipements_diplômes,0.251,10.11,349.88,0.0417,0.749,0.7467204843592331,0.2921146953405017,0.2972452081195885,0.23948811700182818,0.4216285478511374
score_domination,score_lda_axe1,0.051,7.04,239.94,0.0385,0.949,0.9485368314833501,0.20041816009557942,0.19182863334324154,0.1809872029250457,0.4202212125858629
