var1,var2,pearson_r,spearman_r,diff
pct_csp_agriculteur,pct_actifs_velo,-0.201,-0.38,0.178
pct_bac_plus,pct_studios,0.487,0.309,0.178
pct_proprietaires,bpe_D_sante_pour1000,-0.275,-0.454,0.178
pct_capbep,pct_voiture_0,-0.602,-0.424,0.178
pct_etrangers,pct_interim,0.201,0.023,0.177
age_moyen,pct_voiture_0,-0.319,-0.142,0.177
DISP_GI21,pct_logements_anciens,0.126,-0.051,0.177
pct_csp_agriculteur,pct_maison,0.368,0.545,0.177
DISP_PPAT21,DISP_PPFAM21,-0.516,-0.693,0.177
pct_etrangers,DISP_S80S2021,0.253,0.429,0.176
pct_chauffage_gaz_ville,bpe_D_sante_pour1000,0.154,0.33,0.176
pct_femmes,pct_voiture_0,0.248,0.425,0.176
pct_capbep,pct_logements_anciens,0.102,0.278,0.176
pct_immigres,bpe_D_sante_pour1000,0.025,0.2,0.175
DISP_MED21,pct_capbep,-0.438,-0.263,0.175
pct_csp_intermediaire,pct_bac_plus,0.421,0.596,0.175
pct_csp_agriculteur,DISP_PPAT21,0.019,0.193,0.174
taille_menage_moy,pct_65_plus,0.007,0.182,0.174
DISP_PTSA21,pct_petits_logements,0.286,0.112,0.174
age_moyen,pct_inactif,-0.049,0.126,0.174
pct_0_19,DISP_PPSOC21,0.371,0.197,0.174
pct_locataires,bpe_G_tourisme_pour1000,0.019,0.193,0.174
DISP_MED21,pct_voiture_2plus,0.192,0.365,0.173
pct_hlm,bpe_G_tourisme_pour1000,-0.123,0.049,0.173
pct_0_19,pct_hlm,0.405,0.232,0.173
pct_actifs_velo,bpe_D_sante_pour1000,0.209,0.381,0.173
taille_menage_moy,pct_voiture_2plus,-0.009,-0.183,0.173
DISP_PPFAM21,DISP_PPLOGT21,0.789,0.616,0.173
pct_femmes,pct_csp_sans_emploi,0.008,0.181,0.173
pct_etudiants,bpe_E_transports_pour1000,0.105,0.277,0.172
pct_immigres,DISP_PPLOGT21,0.528,0.356,0.172
taille_menage_moy,pct_voiture_0,-0.001,0.171,0.172
pct_csp_plus,DISP_RD21,0.588,0.416,0.172
pct_immigres,pct_actifs_marche,0.246,0.417,0.171
taille_menage_moy,pct_logements_5p_plus,-0.003,-0.174,0.171
pct_actifs_marche,bpe_total_pour1000,0.412,0.241,0.171
pct_actifs_voiture,pct_logements_anciens,0.044,0.214,0.17
pct_actifs_transports,bpe_D_sante_pour1000,0.063,0.234,0.17
pct_actifs_2roues,pct_locataires,0.125,0.294,0.169
DISP_RD21,pct_chauffage_gaz_bouteille,-0.268,-0.437,0.169
pct_20_64,pct_garage,-0.257,-0.088,0.169
pct_etrangers,bpe_D_sante_pour1000,0.022,0.192,0.169
pct_etrangers,DISP_PPMINI21,0.499,0.33,0.169
pct_etrangers,pct_chauffage_gaz_bouteille,-0.31,-0.48,0.169
pct_appart,pct_logements_anciens,-0.263,-0.432,0.169
pct_20_64,pct_actifs_voiture,-0.458,-0.29,0.168
pct_csp_agriculteur,pct_csp_sans_emploi,-0.253,-0.421,0.168
DISP_RD21,bpe_E_transports_pour1000,0.205,0.372,0.167
pct_csp_agriculteur,DISP_S80S2021,-0.026,-0.193,0.167
DISP_PPEN21,DISP_PPMINI21,-0.017,0.15,0.167
taille_menage_moy,pct_chauffage_autre,-0.008,-0.173,0.166
DISP_PTSA21,pct_voiture_2plus,-0.085,0.081,0.166
DISP_PACT21,surface_moyenne,-0.218,-0.052,0.166
pct_femmes,taille_menage_moy,-0.005,0.161,0.166
pct_etrangers,DISP_TP6021,0.652,0.486,0.166
pct_etudiants,pct_chauffage_gaz_ville,0.324,0.489,0.165
DISP_GI21,pct_hlm,-0.03,0.135,0.165
pct_sup5,pct_cdi,0.06,0.225,0.165
pct_csp_agriculteur,pct_suroccupation,-0.188,-0.352,0.165
pct_maison,pct_logements_anciens,0.262,0.427,0.164
DISP_PTSA21,nb_pieces_moyen,-0.239,-0.075,0.164
DISP_PPFAM21,pct_chauffage_autre,-0.065,0.099,0.164
pct_chomage,pct_hlm,0.627,0.463,0.164
DISP_PPFAM21,pct_actifs_transports,0.138,-0.025,0.163
pct_proprietaires,bpe_G_tourisme_pour1000,-0.042,-0.206,0.163
pct_hors_menage,bpe_ecole_privee_pour1000,0.088,0.251,0.163
DISP_PIMPOT21,nb_pieces_moyen,0.156,-0.007,0.162
pct_actifs_transports,pct_chauffage_gaz_ville,0.501,0.663,0.162
pct_actifs_2roues,pct_logements_anciens,-0.056,-0.217,0.162
DISP_PPFAM21,pct_inactif,0.451,0.29,0.162
pct_voiture_0,pct_chauffage_elec,-0.05,-0.211,0.161
pct_20_64,pct_actifs_velo,0.327,0.166,0.161
pct_chauffage_gaz_ville,bpe_G_tourisme_pour1000,-0.156,0.005,0.161
pct_petits_logements,bpe_D_sante_pour1000,0.256,0.418,0.161
pct_immigres,DISP_PCHO21,0.645,0.484,0.161
DISP_GI21,pct_chomage,0.048,0.208,0.16
pct_etudiants,bpe_total_pour1000,0.007,-0.153,0.16
pct_chauffage_gaz_bouteille,pct_studios,-0.297,-0.457,0.16
DISP_PPEN21,DISP_PPLOGT21,-0.099,0.061,0.16
pct_csp_agriculteur,pct_actifs_marche,-0.092,-0.251,0.159
pct_etrangers,pct_chauffage_autre,-0.449,-0.608,0.159
pct_sup5,bpe_E_transports_pour1000,0.151,0.31,0.159
pct_sans_diplome,pct_voiture_0,0.125,0.284,0.159
DISP_PPSOC21,pct_chauffage_gaz_ville,0.335,0.176,0.159
DISP_RD21,pct_sup5,0.715,0.556,0.159
pct_hors_menage,bpe_B_commerces_pour1000,0.103,0.261,0.159
DISP_PPSOC21,pct_locataires,0.597,0.44,0.158
pct_immigres,DISP_S80S2021,0.267,0.425,0.158
DISP_PPAT21,DISP_PPSOC21,-0.455,-0.613,0.158
pct_etudiants,bpe_A_services_pour1000,-0.086,-0.244,0.158
pct_bac_plus,pct_cdi,0.175,0.332,0.157
pct_bac_plus,pct_actifs_velo,0.511,0.354,0.157
pct_hors_menage,bpe_G_tourisme_pour1000,0.05,0.206,0.157
pct_csp_intermediaire,DISP_MED21,0.37,0.527,0.157
pct_immigres,pct_hlm,0.558,0.402,0.157
pct_etudiants,pct_chauffage_gaz_bouteille,-0.263,-0.42,0.157
pct_immigres,pct_chauffage_gaz_bouteille,-0.34,-0.496,0.156
pct_actifs_voiture,pct_actifs_transports,-0.876,-0.72,0.156
pct_csp_agriculteur,pct_voiture_2plus,0.308,0.463,0.156
bpe_G_tourisme_pour1000,bpe_ecole_privee_pour1000,0.04,0.196,0.156
pct_bac_plus,pct_logements_5p_plus,-0.257,-0.101,0.156
pct_csp_intermediaire,pct_etudiants,-0.006,0.149,0.155
pct_actifs_2roues,pct_proprietaires,-0.136,-0.291,0.155
pct_actifs_velo,pct_chauffage_fioul,-0.327,-0.481,0.155
pct_logements_recents,pct_chauffage_gaz_bouteille,0.075,0.23,0.155
pct_etrangers,DISP_PPLOGT21,0.564,0.409,0.155
pct_csp_plus,pct_logements_anciens,0.014,-0.14,0.154
pct_actifs_2roues,pct_chauffage_fioul,-0.166,-0.32,0.154
pct_actifs_transports,bpe_F_sports_culture_pour1000,-0.377,-0.53,0.153
pct_chomage,pct_studios,0.191,0.345,0.153
age_moyen,taille_menage_moy,0.002,0.155,0.153
pct_etudiants,bpe_F_sports_culture_pour1000,-0.235,-0.388,0.153
pct_hors_menage,pct_inactif,0.34,0.188,0.153
pct_hors_menage,pct_etudiants,0.192,0.039,0.153
DISP_RD21,pct_grands_logements,-0.283,-0.435,0.152
pct_appart,bpe_D_sante_pour1000,0.312,0.464,0.152
DISP_MED21,DISP_PPLOGT21,-0.695,-0.848,0.152
pct_actifs_2roues,pct_chauffage_autre,-0.258,-0.41,0.152
taille_menage_moy,DISP_GI21,-0.0,0.152,0.152
DISP_PPLOGT21,pct_hlm,0.676,0.523,0.152
pct_immigres,age_moyen,-0.456,-0.305,0.151
DISP_PIMPOT21,surface_moyenne,0.074,-0.078,0.151
pct_petits_logements,pct_chauffage_autre,-0.493,-0.644,0.151
pct_maison,bpe_D_sante_pour1000,-0.31,-0.461,0.151
DISP_MED21,pct_studios,0.109,-0.042,0.151
DISP_PTSA21,pct_etudiants,0.218,0.369,0.151
pct_csp_employe,pct_sup5,-0.4,-0.249,0.151
pct_csp_agriculteur,bpe_E_transports_pour1000,-0.185,-0.336,0.151
DISP_TP6021,bpe_E_transports_pour1000,0.227,0.076,0.151
pct_csp_agriculteur,pct_capbep,0.283,0.434,0.151
DISP_PTSA21,surface_moyenne,-0.225,-0.074,0.151
pct_voiture_0,bpe_D_sante_pour1000,0.238,0.388,0.15
taille_menage_moy,pct_chauffage_gaz_ville,0.005,0.155,0.15
