,MACRON,LE_PEN,MELENCHON,ZEMMOUR,PECRESSE,JADOT,ROUSSEL,HIDALGO,DUPONT_AIGNAN,AUTRE
DISP_PCHO21,-0.4134597127997265,-0.08320878803614601,0.5315444168103238,-0.14003532480398062,-0.205187869620922,-0.16988260485644605,0.003436460475175129,-0.04904617951425918,-0.11697864594852991,0.0047622442327653995
DISP_PPFAM21,-0.4345749865741733,0.12554667516935786,0.46461031764716115,-0.2841590904452102,-0.3006731327908103,-0.3733062883561633,0.04449171808380826,-0.08118693453073418,-0.09068441158355381,-0.04184745942576645
DISP_PPLOGT21,-0.3213285411327964,-0.10775582016254279,0.5482201843018186,-0.18456622414980056,-0.25858357689010986,-0.17618799929844825,0.06711420346546133,-0.0012092837029251974,-0.17974445335957162,-0.07914841108205976
DISP_PPMINI21,-0.34202540777133816,-0.043918801526548465,0.49434145713729316,-0.1857436331355689,-0.2650636875837771,-0.2205187283713531,0.09133848179687709,-0.002414342311364396,-0.16516722700491904,-0.05367275086732255
DISP_PIMPOT21,-0.5402679786822666,0.42689937579553555,0.1136741998048673,-0.32743639740577357,-0.33273791221051646,-0.46190763815455904,0.1755875549669626,0.013927450880487507,0.06508202329414911,0.22777117848756268
DISP_PACT21,0.2818999383650257,-0.30769967421076533,0.18000895405709827,0.055675495132636955,0.022834851519431494,0.3916547728232057,-0.15869905151552,-0.0484625385538688,-0.08625546541703627,-0.3361975675887561
pct_sup5,0.4492590690192989,-0.624183588379867,0.22379842579462006,0.19692054087037586,0.1934926460520422,0.5522541973068461,-0.12317504459152744,0.07093343740860898,-0.2132636308407637,-0.26231581420495265
pct_sans_diplome,-0.3488235365787457,0.3110349547017708,0.13625223930002114,-0.17261208082832935,-0.16149848745435358,-0.4753882065311331,0.05402698839888148,-0.11486863441611309,0.002565089923826859,0.009054831747559583
pct_capbep,-0.3006662021424672,0.64325200298003,-0.40578093667837406,-0.15330870422874898,-0.10331162745483047,-0.4401098627109783,0.0878033947168545,-0.060613103792874094,0.2539220006163329,0.24698337551853672
pct_bac_plus,0.468944968414725,-0.6281799671735449,0.1800135295710371,0.19513549655208012,0.17575906988558596,0.6215977702304859,-0.117519334859466,0.1018129514690323,-0.1725471698147168,-0.2288083494175014
