,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
pct_csp_employe,-0.024042915079127578,0.09528268298140691,0.14269779297080615,-0.059883651845935776,-0.2321424583863574,-0.0057198194606998005,-0.029119560267470656,0.03137222750969859,0.029658628971210445,0.040968908823395433,-0.3147922603418929,-0.05210744998780974,-0.03144842722417004
pct_csp_ouvrier,0.0481028458712341,0.17693601253174485,0.08096922656821211,-0.12158512842297153,-0.02974948819392817,-0.025758437576929836,-0.09042332111267076,-0.13284326408200384,-0.07052891581334372,-0.17794685317546535,-0.20332338539796002,-0.056132041929927275,-0.06785829754305615
pct_csp_retraite,0.12043638141627651,0.04499016294709846,-0.2138347688947383,0.19258133842940772,-0.005250069472946409,-0.07435746060846192,-0.04794481591069154,0.04151217214550704,0.08007740044319085,0.03404812102102682,0.05480383475223007,-0.014068753736951704,0.00875948804037921
pct_csp_sans_emploi,-0.14600128146994576,0.08931284413978006,0.02318641586862362,-0.04637252727239277,0.1605931549288675,0.1446924888380646,0.19622486965996616,0.08264865119551927,0.09485307727813043,-0.1285365752837779,0.09609734671340842,0.05859657021127282,-0.046853420566729205
DISP_MED21,0.033568203303922316,-0.2339218683919599,-0.0027482784110859637,0.04866623761367754,0.1089190907162424,-0.0283675944353195,0.08590752881706232,-0.07248903512156399,-0.008057714263125567,-0.022111777073948048,-0.05655745533413707,0.021075057059260494,0.01396693011374528
DISP_TP6021,-0.13139770582759663,0.1830403165437261,-0.02131679316056778,-0.06030896139124354,0.05454673427843701,-0.08916969467480243,0.05560268781035596,0.014827410807020887,-0.0710578610951739,0.02693972327881993,0.057383275118640095,-0.024065698400707033,0.03725251341778786
DISP_GI21,-0.10128934010443882,-0.14227208692973703,-0.14028803663886977,-0.050230192988543275,0.13898659579318787,-0.10789366833059931,0.17861928514245695,-0.013741188285375981,-0.09912419467157997,-0.0179113454963081,-0.19432723733138976,-0.0897185454594149,-0.009817224006166511
DISP_RD21,-0.12282670488502795,-0.13484749658529413,-0.09713291961103207,-0.04734614540435259,0.12807250236422926,-0.10645164104887173,0.12428104005321193,-0.026057871006733638,-0.05467765227994156,-0.07736844266249579,-0.2044652847207314,-0.07507194173500367,-0.038451113506888485
DISP_S80S2021,-0.07638089139946998,-0.12544226946502526,-0.12490313861196121,-0.1040520711690389,0.18727850017506886,-0.15281085297543545,0.1545383108280743,-0.038981907833780034,-0.0937535370716022,-0.045178236307317904,-0.2581387492743746,-0.0874890911786832,-0.03721163075238262
DISP_PTSA21,-0.05736664520958517,-0.15493363708676036,0.23213417511940523,-0.05916784568526667,-0.06841451214310856,0.03204823091024488,-0.07195317889006832,-0.08530275042976838,0.0645329480756875,-0.02084421999621338,0.029169602568008463,0.053956296329172544,0.04722833877462568
