,LE_PEN,MACRON,MELENCHON,AUTRE
DISP_PPAT21,0.0029201435689910674,0.01087249887175703,0.014644360101734302,0.0003453070367517489
DISP_PPEN21,0.01108057496868269,0.00924528252401848,0.006466066267493746,0.00022567186546796632
DISP_PPSOC21,0.0041126840521313384,0.06388485470915375,0.049852713533313,0.006046136388282363
DISP_PCHO21,0.016006905736007594,0.08411678725404048,0.07704329492303974,0.0012197046074218483
DISP_PPFAM21,0.010394845542426387,0.12364802586788551,0.021623083201764013,0.0010835638002672098
DISP_PPLOGT21,0.0026912449104328656,0.0027738639562525577,0.0043090748690818165,0.0017389738228332824
DISP_PPMINI21,0.0015343475042951347,0.0029539474716312594,0.03705729464533032,0.0013783442463919287
DISP_PIMPOT21,0.004641367908854111,0.00810666760931144,0.012450566779781104,0.001797742235957202
DISP_PACT21,0.0031867974206295667,0.003292705824811892,0.0022901083558203835,0.0016505863219681207
pct_sup5,0.16965039460728948,0.0409529512534914,0.01000864002859297,0.0004522392718229633
pct_sans_diplome,0.011375800914728404,0.016740694448286443,0.00601909550172963,0.0006869291484522618
pct_capbep,0.14993682201217134,0.007377939457368307,0.007773744694040387,0.0007843122465298254
pct_bac_plus,0.04010441134542311,0.03820883076212536,0.011275280313604369,0.004276013513223349
pct_chomage,0.007139883250896616,0.009036065612565295,0.004900881967164886,0.001098837571271207
pct_cdi,0.0051179971477184096,0.0036834054268728503,0.004504076486884487,0.0025661282384589674
pct_cdd,0.0034416115480687816,0.010288227440030523,0.008177795975520642,0.003970982288063826
pct_interim,0.006813169900963325,0.005618693958831984,0.00398046433179069,0.003893570710901813
pct_temps_partiel,0.01112468988463806,0.01121434547471844,0.011287488403601121,0.0006677217584410652
pct_inactif,0.0015780395240197098,0.0012517563113176979,0.0033699285918453,0.0028941151427236394
pct_etudiants,0.004695671444357292,0.003319986277580302,0.0092512070385555,0.000440257308389344
pct_actifs_voiture,0.022049367740277576,0.00828774145290746,0.006075618121508958,0.004917069467254055
pct_actifs_transports,0.031827158545777744,0.005377686070584231,0.036458498098326526,0.0
pct_actifs_velo,0.014219678957899875,0.021823520625531334,0.023874682270242406,0.0004508205416324499
pct_actifs_2roues,0.012624255074601059,0.004509383292912886,0.006097573260844287,0.0002328223029410494
pct_actifs_marche,0.004090330137743143,0.007850177550265425,0.0033902395036628655,0.0034622994126445026
pct_proprietaires,0.001368881610359845,0.002086750629733029,0.003334355859176123,0.001209993666903086
pct_locataires,0.003505323052400521,0.008775026495305321,0.005417400920541117,0.0008832718657490205
pct_hlm,0.0060182527570348835,0.01270590896522064,0.0040319143915652726,0.00045096339994967567
pct_logvac,0.0030588077977550397,0.0035500679073352044,0.0024429709859055113,0.007347764344232881
pct_maison,0.001567261441162915,0.00282830617234557,0.002566712293367118,0.0003481448460898602
pct_appart,0.004721079563225389,0.0035403683359937696,0.003949881592143377,0.011587066699937863
pct_petits_logements,0.0042510701260462195,0.002682417669940421,0.0014775442046961122,0.0013541018085889748
pct_grands_logements,0.00655317841914087,0.010416878455999872,0.028834332516365593,0.0016159336360781265
pct_logements_anciens,0.010100902508988534,0.0062535394285991005,0.004859111114020778,0.03384728551125653
pct_logements_recents,0.0050117983997281625,0.006585388625929159,0.0016566057304974314,0.010118378945271964
pct_voiture_0,0.002060327253760692,0.00499346907314879,0.0030508733256175554,0.0005721562811998922
pct_voiture_2plus,0.008610405554520903,0.007734422752789633,0.0073824851915930585,0.0015419560432401256
surface_moyenne,0.0020674273522578294,0.0023457470807931647,0.0010673922347794996,0.003215737726809668
pct_suroccupation,0.0023604346089839113,0.0031536103411280115,0.0020122210665075324,0.001323258257434851
pct_chauffage_elec,0.050233710591081185,0.029539843971435345,0.005254756083042069,0.007625281142716204
pct_chauffage_fioul,0.0025313251235607754,0.0023167153724571892,0.003170313738074335,0.016091091201017146
pct_chauffage_gaz_ville,0.025598488367114643,0.01717437355949828,0.004839976038850096,0.010164302013018973
pct_chauffage_gaz_bouteille,0.0033887576613550424,0.00403352902404968,0.001899381968863042,0.005511348735804999
pct_chauffage_autre,0.002112086325865413,0.005287898798683264,0.004182040670642797,0.0066865565331621956
pct_garage,0.005454459832658761,0.007597526424118319,0.004600149651452238,0.007672180760627669
nb_pieces_moyen,0.003556804422231018,0.002971681239924091,0.001929996491411987,0.0012625040730821233
pct_studios,0.0017093138728601581,0.003136242254005445,0.001666195444609018,0.00034816242914126143
pct_logements_5p_plus,0.007431099481781694,0.012604858529587613,0.0017084881370303731,0.0024582840801307426
bpe_total_pour1000,0.0029902728146969895,0.0014526454950752703,0.00248234562660035,0.0010700018642706944
bpe_A_services_pour1000,0.006520315310609107,0.006414690973527699,0.0035856503412822266,0.0012227886623365622
bpe_B_commerces_pour1000,0.0042434420460305735,0.006614389002975403,0.005521398812420468,0.0005479042277151182
bpe_C_enseignement_pour1000,0.0022117209531472533,0.003490419861254417,0.0019022144322930585,0.0005587415828458363
