var1,var2,MI,MI_norm,r2,gap_MI_r2
pct_chauffage_autre,bpe_G_tourisme_pour1000,0.1229,0.0341,0.0016,0.0325
DISP_PPSOC21,pct_chauffage_autre,0.1566,0.0435,0.011,0.0324
ecart_csp_plus_hf,pct_csp_sans_emploi,0.124,0.0344,0.0022,0.0323
DISP_PPAT21,pct_logements_5p_plus,0.1313,0.0364,0.0043,0.0321
pct_interim,bpe_B_commerces_pour1000,0.1172,0.0325,0.0005,0.032
pct_csp_ouvrier,bpe_F_sports_culture_pour1000,0.1198,0.0332,0.0012,0.032
DISP_PCHO21,bpe_sport_indoor_pour1000,0.1361,0.0378,0.0058,0.032
DISP_MED21,pct_maison,0.1162,0.0322,0.0003,0.0319
DISP_S80S2021,bpe_B_commerces_pour1000,0.1834,0.0509,0.0192,0.0317
ecart_csp_plus_hf,pct_actifs_marche,0.1145,0.0318,0.0001,0.0317
pct_csp_agriculteur,pct_csp_plus,0.2866,0.0795,0.0478,0.0317
pct_csp_independant,pct_petits_logements,0.1394,0.0387,0.007,0.0317
pct_petits_logements,bpe_sport_indoor_pour1000,0.1146,0.0318,0.0001,0.0317
bpe_A_services_pour1000,bpe_sport_indoor_pour1000,0.1271,0.0353,0.0037,0.0316
pct_logements_anciens,bpe_sport_indoor_pour1000,0.1448,0.0402,0.0085,0.0316
pct_cdd,bpe_C_enseignement_pour1000,0.134,0.0372,0.0058,0.0314
DISP_PACT21,pct_actifs_marche,0.1161,0.0322,0.001,0.0313
pct_actifs_marche,bpe_sport_indoor_pour1000,0.1296,0.036,0.0047,0.0313
pct_cdd,pct_chauffage_gaz_ville,0.1165,0.0323,0.001,0.0313
pct_actifs_2roues,pct_chauffage_gaz_ville,0.1926,0.0535,0.0221,0.0313
pct_chauffage_gaz_ville,bpe_B_commerces_pour1000,0.2074,0.0576,0.0263,0.0313
pct_chauffage_fioul,bpe_sport_indoor_pour1000,0.1126,0.0312,0.0,0.0312
ecart_csp_plus_hf,pct_interim,0.1318,0.0366,0.0054,0.0311
DISP_PACT21,bpe_D_sante_pour1000,0.1191,0.0331,0.002,0.0311
DISP_PTSA21,pct_actifs_marche,0.1221,0.0339,0.0029,0.031
pct_interim,pct_suroccupation,0.1115,0.031,0.0001,0.0309
pct_logements_recents,pct_chauffage_autre,0.1116,0.031,0.0002,0.0308
DISP_PPLOGT21,pct_actifs_2roues,0.1128,0.0313,0.0005,0.0308
DISP_TP6021,bpe_D_sante_pour1000,0.1711,0.0475,0.0167,0.0307
pct_csp_agriculteur,pct_actifs_2roues,0.1323,0.0367,0.0061,0.0306
DISP_S80S2021,bpe_sport_indoor_pour1000,0.1426,0.0396,0.009,0.0306
pct_locataires,bpe_C_enseignement_pour1000,0.1405,0.039,0.0084,0.0306
DISP_S80S2021,pct_actifs_velo,0.1831,0.0508,0.0202,0.0306
pct_interim,pct_actifs_marche,0.1123,0.0312,0.0006,0.0305
pct_csp_employe,pct_actifs_transports,0.1211,0.0336,0.0031,0.0305
DISP_PPLOGT21,bpe_F_sports_culture_pour1000,0.1191,0.0331,0.0025,0.0305
bpe_D_sante_pour1000,pct_sport_accessible,0.1165,0.0323,0.0018,0.0305
DISP_S80S2021,pct_actifs_2roues,0.1582,0.0439,0.0135,0.0304
pct_interim,bpe_F_sports_culture_pour1000,0.115,0.0319,0.0016,0.0303
pct_actifs_2roues,pct_logements_anciens,0.1353,0.0375,0.0072,0.0303
pct_csp_employe,pct_actifs_marche,0.1089,0.0302,0.0,0.0302
pct_csp_plus,bpe_sport_indoor_pour1000,0.1198,0.0332,0.0032,0.03
pct_interim,bpe_sport_indoor_pour1000,0.1154,0.032,0.0021,0.0299
DISP_PACT21,bpe_B_commerces_pour1000,0.1078,0.0299,0.0,0.0299
pct_csp_ouvrier,pct_hlm,0.1108,0.0308,0.0009,0.0298
bpe_A_services_pour1000,bpe_F_sports_culture_pour1000,0.2802,0.0778,0.0482,0.0296
DISP_TP6021,bpe_B_commerces_pour1000,0.1583,0.0439,0.0143,0.0296
pct_suroccupation,pct_sport_accessible,0.1066,0.0296,0.0001,0.0295
pct_locataires,bpe_sport_indoor_pour1000,0.1127,0.0313,0.0019,0.0294
DISP_PIMPOT21,pct_logements_5p_plus,0.1262,0.035,0.0056,0.0294
pct_csp_independant,pct_studios,0.1344,0.0373,0.008,0.0293
DISP_PPFAM21,pct_actifs_velo,0.1464,0.0406,0.0113,0.0293
pct_immigres,DISP_PIMPOT21,0.1135,0.0315,0.0022,0.0293
pct_actifs_velo,bpe_F_sports_culture_pour1000,0.1588,0.0441,0.0147,0.0293
DISP_PTSA21,bpe_C_enseignement_pour1000,0.1178,0.0327,0.0036,0.0291
DISP_PPFAM21,bpe_F_sports_culture_pour1000,0.1145,0.0318,0.0027,0.0291
pct_actifs_2roues,pct_chauffage_autre,0.2427,0.0674,0.0384,0.029
pct_csp_intermediaire,pct_studios,0.1065,0.0295,0.0007,0.0289
DISP_MED21,pct_voiture_2plus,0.2285,0.0634,0.0345,0.0289
pct_appart,bpe_C_enseignement_pour1000,0.1123,0.0312,0.0022,0.0289
DISP_S80S2021,bpe_E_transports_pour1000,0.1049,0.0291,0.0002,0.0289
DISP_RD21,DISP_PPSOC21,0.1129,0.0313,0.0025,0.0288
DISP_PPFAM21,pct_petits_logements,0.12,0.0333,0.0045,0.0288
ecart_csp_plus_hf,bpe_F_sports_culture_pour1000,0.1347,0.0374,0.0087,0.0287
DISP_PCHO21,DISP_PACT21,0.1572,0.0436,0.0149,0.0287
pct_temps_partiel,pct_hlm,0.109,0.0303,0.0015,0.0287
DISP_PPFAM21,pct_chauffage_gaz_bouteille,0.1415,0.0393,0.0107,0.0285
DISP_PCHO21,pct_chauffage_fioul,0.1964,0.0545,0.0261,0.0285
pct_csp_intermediaire,pct_petits_logements,0.1048,0.0291,0.0006,0.0285
pct_interim,pct_studios,0.1044,0.029,0.0004,0.0285
ecart_csp_plus_hf,pct_actifs_2roues,0.1079,0.0299,0.0015,0.0285
pct_csp_employe,pct_studios,0.1036,0.0288,0.0003,0.0285
pct_csp_agriculteur,DISP_PPSOC21,0.1037,0.0288,0.0004,0.0284
pct_proprietaires,bpe_sport_indoor_pour1000,0.1091,0.0303,0.0019,0.0284
pct_csp_employe,pct_chauffage_gaz_ville,0.1405,0.039,0.0106,0.0284
DISP_MED21,pct_petits_logements,0.1283,0.0356,0.0072,0.0284
DISP_S80S2021,pct_chauffage_gaz_bouteille,0.1059,0.0294,0.001,0.0284
pct_csp_sans_emploi,bpe_sport_indoor_pour1000,0.1034,0.0287,0.0004,0.0283
pct_chauffage_gaz_bouteille,bpe_sport_indoor_pour1000,0.1018,0.0282,0.0,0.0282
pct_csp_plus,pct_sport_accessible,0.1023,0.0284,0.0002,0.0282
DISP_PPFAM21,pct_suroccupation,0.1236,0.0343,0.0061,0.0282
pct_appart,bpe_sport_indoor_pour1000,0.1008,0.028,0.0,0.028
pct_csp_sans_emploi,pct_actifs_2roues,0.1095,0.0304,0.0024,0.028
pct_csp_independant,pct_actifs_transports,0.1681,0.0467,0.0188,0.0279
DISP_PPFAM21,pct_actifs_2roues,0.1174,0.0326,0.0047,0.0279
DISP_MED21,pct_logements_anciens,0.1301,0.0361,0.0082,0.0279
pct_suroccupation,bpe_F_sports_culture_pour1000,0.1532,0.0425,0.0153,0.0272
pct_csp_agriculteur,DISP_PPMINI21,0.1159,0.0322,0.005,0.0272
pct_interim,pct_temps_partiel,0.1159,0.0322,0.0051,0.0271
DISP_PPFAM21,bpe_D_sante_pour1000,0.1178,0.0327,0.0057,0.027
pct_csp_intermediaire,bpe_sport_indoor_pour1000,0.1002,0.0278,0.001,0.0268
DISP_RD21,pct_sport_accessible,0.0962,0.0267,0.0,0.0267
pct_actifs_velo,bpe_G_tourisme_pour1000,0.1043,0.0289,0.0022,0.0267
pct_voiture_0,bpe_C_enseignement_pour1000,0.1074,0.0298,0.0031,0.0267
pct_locataires,bpe_G_tourisme_pour1000,0.0997,0.0277,0.001,0.0266
bpe_B_commerces_pour1000,pct_sport_accessible,0.0956,0.0265,0.0,0.0265
DISP_PPFAM21,pct_actifs_marche,0.0956,0.0265,0.0001,0.0265
DISP_PCHO21,pct_etudiants,0.108,0.03,0.0034,0.0265
pct_csp_retraite,pct_actifs_voiture,0.1106,0.0307,0.0042,0.0265
pct_csp_employe,pct_interim,0.106,0.0294,0.0029,0.0265
pct_csp_ouvrier,pct_sport_accessible,0.1082,0.03,0.0037,0.0264
pct_csp_intermediaire,pct_hlm,0.125,0.0347,0.0083,0.0264
pct_actifs_transports,bpe_G_tourisme_pour1000,0.0962,0.0267,0.0004,0.0263
pct_immigres,DISP_MED21,0.155,0.043,0.0167,0.0263
pct_voiture_0,bpe_sport_indoor_pour1000,0.0967,0.0268,0.0005,0.0263
pct_maison,bpe_C_enseignement_pour1000,0.1032,0.0286,0.0024,0.0263
pct_interim,pct_petits_logements,0.0968,0.0269,0.0006,0.0262
DISP_PPAT21,pct_actifs_velo,0.1147,0.0318,0.0057,0.0261
pct_csp_independant,bpe_E_transports_pour1000,0.0984,0.0273,0.0012,0.0261
pct_csp_independant,DISP_MED21,0.1123,0.0312,0.0051,0.026
ecart_csp_plus_hf,DISP_PCHO21,0.1348,0.0374,0.0114,0.026
DISP_PPFAM21,pct_studios,0.1187,0.033,0.007,0.026
DISP_TP6021,bpe_sport_indoor_pour1000,0.0967,0.0268,0.0009,0.0259
pct_csp_agriculteur,bpe_B_commerces_pour1000,0.1474,0.0409,0.015,0.0259
pct_csp_plus,bpe_B_commerces_pour1000,0.137,0.038,0.0122,0.0258
DISP_TP6021,bpe_G_tourisme_pour1000,0.1003,0.0278,0.002,0.0258
pct_csp_employe,bpe_sport_indoor_pour1000,0.0935,0.0259,0.0001,0.0258
pct_interim,pct_chauffage_gaz_ville,0.1494,0.0414,0.0158,0.0257
DISP_MED21,nb_pieces_moyen,0.1216,0.0337,0.008,0.0257
DISP_PPSOC21,pct_actifs_velo,0.0936,0.026,0.0002,0.0257
DISP_PIMPOT21,pct_grands_logements,0.1301,0.0361,0.0104,0.0257
pct_csp_employe,pct_actifs_2roues,0.0925,0.0257,0.0001,0.0256
pct_csp_intermediaire,pct_actifs_transports,0.13,0.0361,0.0105,0.0256
pct_csp_agriculteur,pct_actifs_marche,0.1236,0.0343,0.0087,0.0256
bpe_D_sante_pour1000,bpe_G_tourisme_pour1000,0.169,0.0469,0.0213,0.0256
pct_csp_employe,pct_petits_logements,0.0919,0.0255,0.0001,0.0254
pct_interim,pct_chauffage_autre,0.0946,0.0262,0.0008,0.0254
pct_suroccupation,bpe_D_sante_pour1000,0.2147,0.0596,0.0342,0.0253
pct_csp_agriculteur,pct_suroccupation,0.1619,0.0449,0.0197,0.0253
pct_csp_agriculteur,pct_csp_employe,0.2112,0.0586,0.0334,0.0252
pct_csp_independant,pct_actifs_velo,0.1209,0.0335,0.0084,0.0252
pct_femmes,bpe_C_enseignement_pour1000,0.0926,0.0257,0.0005,0.0252
taille_menage_moy,pct_hlm,0.0951,0.0264,0.0013,0.0251
pct_hlm,bpe_D_sante_pour1000,0.2151,0.0597,0.0346,0.0251
DISP_MED21,pct_chauffage_gaz_bouteille,0.0906,0.0252,0.0,0.0251
pct_actifs_2roues,pct_chauffage_gaz_bouteille,0.115,0.0319,0.0068,0.0251
pct_actifs_marche,pct_sport_accessible,0.0919,0.0255,0.0004,0.0251
pct_chauffage_gaz_ville,bpe_G_tourisme_pour1000,0.1174,0.0326,0.0075,0.0251
