,national,MACRON,LE_PEN,MELENCHON,ZEMMOUR,PECRESSE,JADOT,ROUSSEL,HIDALGO,DUPONT_AIGNAN,AUTRE,ABSTENTION
DISP_PPLOGT21,1.228204640269946,1.0898226698995084,1.1992352558697914,1.567135261050217,1.1010564687562934,0.9994789011224436,1.0681552139240877,1.2671163304132527,1.1887908404102447,1.0825513993557958,1.1368280160030604,1.431253890741182
DISP_PPMINI21,2.7468882227603886,2.432763024851963,2.7795794968980805,3.394550237109982,2.479254498280968,2.2437729412743916,2.3270470139022805,2.8815420602281074,2.652479348827943,2.472708028740066,2.6190467364720615,3.1851292371836606
DISP_PIMPOT21,-15.992463117432736,-16.733159144770067,-15.036657580822133,-15.530144199142145,-16.806378552122265,-17.310067599252008,-17.16431730362879,-15.372593826422047,-16.02555150201722,-15.76075018048093,-15.35484418136679,-15.480311521294874
DISP_PACT21,72.7265631797467,73.52199013152963,70.63200716909523,73.81116963206563,72.8552997424575,73.45107108923071,75.24549114185527,71.4428847076542,72.59930762231895,72.05314507103746,70.56689020751831,71.96760622861548
pct_sup5,11.770065722218785,13.236164306587161,8.567141510532327,12.432585898075345,12.880268731058889,13.976434311790765,15.126254891554021,10.440261406854207,12.412417425092864,10.162522430517672,9.639599004049117,11.039240188995102
pct_sans_diplome,19.766254031095944,18.588922294590144,21.046942923174676,20.99783226692672,18.785231087372857,18.162186020476565,17.195881266712664,20.322221275797432,18.892087913835642,19.720701778380775,19.889175833213965,21.123137609356633
pct_capbep,24.203442228063548,23.51847290299485,26.68545144784061,22.780548424796685,23.525912029693682,23.12748710522563,22.26087090003899,25.13579618862065,23.976988593371175,25.687158537945113,26.008168686677777,24.237046593667582
pct_bac_plus,33.064177834784196,35.26648056269059,28.679319955052726,33.45400804073792,34.69421691014602,36.11328352637952,38.25358901627994,31.239091409275137,34.272434640768964,31.303089020080275,30.49301286122428,31.600117834881676
pct_chomage,11.745440468135586,11.056188106336524,11.752148392018302,13.233553408720368,11.33756575340455,10.6714106949727,10.862404802286559,12.038513077237049,11.468592223056959,11.028017705443816,11.179448868553246,12.765583448473807
pct_cdi,84.32069254142797,84.720413614925,84.59149518921082,83.21569369947363,84.82643170436619,85.001120513047,84.477275928038,84.17068605533376,84.07451454394845,84.90227613498425,84.42300525055985,83.66004777266106
pct_cdd,9.670264744795126,9.405684390430178,9.433031405391961,10.362920752860639,9.456888794178502,9.302063752290923,9.633035605304698,9.791361744180419,9.855513678347869,9.28179893917406,9.742967942861243,10.044489365816345
pct_interim,2.2527257923880937,2.123464465407867,2.3912978590223237,2.427697381910411,2.0459229956245277,1.990505851679258,2.020250285357129,2.3166401574223596,2.228756789873291,2.238980376182554,2.240160853037678,2.430629597327756
