"NATURE_ZONAGE","COM_COMER","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"COM","93704","0","M SILA (COMMUNE MIXTE)","M’Sila (commune mixte)","M’Sila (commune mixte)","1943-01-01","1962-07-05"
"COM","93705","0","RHIRA (COMMUNE MIXTE)","Rhira (commune mixte)","Rhira (commune mixte)","1943-01-01","1962-07-05"
"COM","93706","0","TAKITOUNT (COMMUNE MIXTE)","Takitount (commune mixte)","Takitount (commune mixte)","1943-01-01","1962-07-05"
"COM","93710","0","SETIF","Sétif","Sétif","1943-01-01","1962-07-05"
"COM","93711","0","AIN ABESSA","Aïn-Abessa","Aïn-Abessa","1943-01-01","1962-07-05"
"COM","93712","0","AIN ROUA","Aïn-Roua","Aïn-Roua","1943-01-01","1962-07-05"
"COM","93713","0","AIN TAGROUT","Aïn-Tagrout","Aïn-Tagrout","1943-01-01","1962-07-05"
"COM","93714","0","AMPERE","Ampère","Ampère","1943-01-01","1962-07-05"
"COM","93715","0","BORDJ BOU ARRERIDJ","Bordj-Bou-Arréridj","Bordj-Bou-Arréridj","1943-01-01","1962-07-05"
"COM","93716","0","COLBERT","Colbert","Colbert","1943-01-01","1962-07-05"
"COM","93717","0","COLIGNY","Coligny","Coligny","1943-01-01","1962-07-05"
"COM","93718","0","EL OURICIA","El-Ouricia","El-Ouricia","1943-01-01","1962-07-05"
"COM","93719","0","SAINT ARNAUD","Saint-Arnaud","Saint-Arnaud","1943-01-01","1962-07-05"
"COM","93720","0","TOCQUEVILLE","Tocqueville","Tocqueville","1943-01-01","1962-07-05"
"COM","93721","0","KERRATA","Kerrata","Kerrata","1949-01-15","1962-07-05"
"COM","94101","1","AIN SEFRA (COMMUNE MIXTE)","Aïn-Sefra (commune mixte)","Aïn-Sefra (commune mixte)","1943-01-01","1962-07-05"
"COM","94102","0","MECHERIA (COMMUNE MIXTE)","Mécheria (commune mixte)","Mécheria (commune mixte)","1943-01-01","1962-07-05"
"COM","94103","0","GERYVILLE (COMMUNE MIXTE)","Géryville (commune mixte)","Géryville (commune mixte)","1943-01-01","1962-07-05"
"COM","94104","0","COLOMB BECHAR (COMMUNE MIXTE)","Colomb-Béchar (commune mixte)","Colomb-Béchar (commune mixte)","1943-01-01","1962-07-05"
