"CODE_EXT","CODE_GEO","LIBGEO"
"96150","96151","Souk-El-Arba"
"96152","96151","Souk-El-Arba"
"96154","96153","Ghardimaou"
"96156","96155","Souk-El-Khemis"
"96160","99351","Tunisie"
"96200","96211","Tunis"
"96201","99351","Tunisie"
"96206","99351","Tunisie"
"96210","96211","Tunis"
"96212","96211","Tunis"
"96230","96231","Zaghouan"
"96232","96231","Zaghouan"
"96240","96241","Grombalia"
"96247","96246","Nabeul"
"96249","96248","Soliman"
"96300","96311","Le Kef"
"96305","99351","Tunisie"
"96310","96311","Le Kef"
"96312","96311","Le Kef"
"96322","99351","Tunisie"
"96330","96331","Téboursouk"
"96332","96331","Téboursouk"
"96340","96341","Maktar"
"96342","96341","Maktar"
"96344","96343","Siliana"
"96350","96351","Medjez-el-Bab"
"96352","96351","Medjez-el-Bab"
"96400","96411","Sousse"
"96410","96411","Sousse"
"96412","96411","Sousse"
"96418","96417","Enfidaville"
"96423","96422","Monastir"
"96431","99351","Tunisie"
"96440","96441","Mahdia"
"96442","96441","Mahdia"
"96450","96451","Kairouan"
"96452","96451","Kairouan"
"96460","96461","Thala"
"96465","96464","Sbeitla"
"96466","96461","Thala"
"96500","96511","Sfax"
"96510","96511","Sfax"
"96512","96511","Sfax"
"96520","96521","Gabès"
"96522","96521","Gabès"
"96530","96531","Gafsa"
"96532","96531","Gafsa"
"96539","96538","Sidi-Bou-Zid"
"96546","99351","Tunisie"
"96550","96551","Tozeur"
"96552","96551","Tozeur"
"96560","96561","Djerba"
"96562","96561","Djerba"
"96621","99351","Tunisie"
"96731","99351","Tunisie"
"96802","96801","Médenine"
"96804","96803","Ben-Gardane"
"96808","96807","Matmata"
"96812","96809","Tatahouine"
"96814","96813","Zarzis"
"96911","99351","Tunisie"
"97251","97201","L'Ajoupa-Bouillon"
"97252","97202","Les Anses-d'Arlet"
"97253","97203","Basse-Pointe"
"97254","97204","Le Carbet"
"97255","97205","Case-Pilote"
"97256","97206","Le Diamant"
"97257","97207","Ducos"
"97258","97208","Fonds-Saint-Denis"
"97259","97209","Fort-de-France"
"97260","97210","Le François"
"97261","97211","Grand'Rivière"
"97262","97212","Gros-Morne"
"97263","97213","Le Lamentin"
"97264","97214","Le Lorrain"
"97265","97215","Macouba"
"97266","97216","Le Marigot"
"97267","97217","Le Marin"
"97268","97218","Le Morne-Rouge"
"97269","97219","Le Prêcheur"
"97270","97220","Rivière-Pilote"
"97271","97221","Rivière-Salée"
"97272","97222","Le Robert"
"97273","97223","Saint-Esprit"
"97274","97224","Saint-Joseph"
"97275","97225","Saint-Pierre"
"97276","97226","Sainte-Anne"
"97277","97227","Sainte-Luce"
"97278","97228","Sainte-Marie"
"97279","97229","Schœlcher"
"97280","97230","La Trinité"
"97281","97231","Les Trois-Îlets"
"97282","97232","Le Vauclin"
"97283","97233","Le Morne-Vert"
"97284","97234","Bellefontaine"
"97464","97404","L'Étang-Salé"
"97503","97103","Baie-Mahault"
"97504","97104","Baillif"
"97505","97105","Basse-Terre"
"97506","97106","Bouillante"
"97507","97107","Capesterre-Belle-Eau"
"97508","97108","Capesterre-de-Marie-Galante"
"97509","97109","Gourbeyre"
"97510","97110","La Désirade"
"97511","97111","Deshaies"
"97512","97112","Grand-Bourg"
"97513","97113","Le Gosier"
"97514","97114","Goyave"
"97515","97115","Lamentin"
"97516","97116","Morne-à-l'Eau"
"97517","97117","Le Moule"
"97518","97118","Petit-Bourg"
"97519","97119","Petit-Canal"
"97520","97120","Pointe-à-Pitre"
"97521","97121","Pointe-Noire"
"97522","97122","Port-Louis"
"97523","97123","Saint-Barthélemy"
"97524","97124","Saint-Claude"
"97525","97125","Saint-François"
"97526","97126","Saint-Louis"
"97527","97127","Saint-Martin"
"97528","97128","Sainte-Anne"
"97529","97129","Sainte-Rose"
"97530","97130","Terre-de-Bas"
"97531","97131","Terre-de-Haut"
"97532","97132","Trois-Rivières"
"97533","97133","Vieux-Fort"
"97534","97134","Vieux-Habitants"
"97551","97101","Les Abymes"
"97552","97102","Anse-Bertrand"
"97601","97201","L'Ajoupa-Bouillon"
"97602","97202","Les Anses-d'Arlet"
"97603","97203","Basse-Pointe"
"97604","97204","Le Carbet"
"97605","97205","Case-Pilote"
"97606","97206","Le Diamant"
"97607","97207","Ducos"
"97608","97208","Fonds-Saint-Denis"
"97609","97209","Fort-de-France"
"97610","97210","Le François"
"97611","97211","Grand'Rivière"
"97612","97212","Gros-Morne"
"97613","97213","Le Lamentin"
"97614","97214","Le Lorrain"
"97615","97215","Macouba"
"97616","97216","Le Marigot"
"97617","97217","Le Marin"
"97618","97218","Le Morne-Rouge"
"97619","97219","Le Prêcheur"
"97620","97220","Rivière-Pilote"
"97621","97221","Rivière-Salée"
"97622","97222","Le Robert"
"97623","97223","Saint-Esprit"
"97624","97224","Saint-Joseph"
"97625","97225","Saint-Pierre"
"97626","97226","Sainte-Anne"
"97627","97227","Sainte-Luce"
"97628","97228","Sainte-Marie"
"97629","97229","Schœlcher"
"97630","97230","La Trinité"
"97631","97231","Les Trois-Îlets"
"97632","97232","Le Vauclin"
"97633","97233","Le Morne-Vert"
"97634","97234","Bellefontaine"
"97702","97302","Cayenne"
"97711","97311","Saint-Laurent-du-Maroni"
"97802","97402","Bras-Panon"
"97803","97403","Entre-Deux"
"97805","97405","Petite-Île"
"97807","97407","Le Port"
"97808","97408","La Possession"
"97809","97409","Saint-André"
"97810","97410","Saint-Benoît"
"97811","97411","Saint-Denis"
"97812","97412","Saint-Joseph"
"97813","97413","Saint-Leu"
"97814","97414","Saint-Louis"
"97815","97415","Saint-Paul"
"97816","97416","Saint-Pierre"
"97817","97417","Saint-Philippe"
"97818","97418","Sainte-Marie"
"97819","97419","Sainte-Rose"
"97820","97420","Sainte-Suzanne"
"97821","97421","Salazie"
"97822","97422","Le Tampon"
"97823","97423","Les Trois-Bassins"
"97824","97424","Cilaos"
"98699","98607","Nouvelle-Calédonie"
"99009","99109","Allemagne"
"99010","99110","Autriche"
"99022","99122","Pologne"
"99027","99127","Italie"
"99032","99132","Royaume-Uni"
"99034","99134","Espagne"
"99035","99135","Pays-Bas"
"99039","99139","Portugal"
"99170","99134","Espagne"
"99175","99127","Italie"
"99185","99139","Portugal"
"99190","99132","Royaume-Uni"
"99272","99212","Afghanistan"
"99353","99352","Algérie"
"99354","99352","Algérie"
"99355","99352","Algérie"
"99356","99352","Algérie"
"99357","99352","Algérie"
"99358","99352","Algérie"
"99359","99352","Algérie"
"99360","99352","Algérie"
"99361","99343","Soudan"
"99370","99350","Maroc"
"99371","99350","Maroc"
"99380","99350","Maroc"
"99381","99350","Maroc"
"99382","99350","Maroc"
"99383","99350","Maroc"
"99384","99350","Maroc"
"99385","99351","Tunisie"
"99386","99351","Tunisie"
"99387","99350","Maroc"
"99388","99350","Maroc"
"99527","99127","Italie"
"99601","99404","États-Unis"
"99602","99208","Turquie"
"99603","99326","Côte d’Ivoire"
"99604","99333","Madagascar"
"99605","99335","Mali"
"99606","99243","Vietnam"
"99607","99204","Iran"
"99609","99109","Allemagne"
"99610","99110","Autriche"
"99611","99415","Argentine"
"99612","99416","Brésil"
"99613","99113","Liechtenstein"
"99614","99114","Roumanie"
"99615","99115","Tchécoslovaquie"
"99616","99410","Haïti"
"99621","99121","Serbie"
"99622","99122","Pologne"
"99623","99123","Russie"
"99625","99125","Albanie"
"99626","99126","Grèce"
"99627","99127","Italie"
"99630","99130","Andorre"
"99631","99131","Belgique"
"99632","99132","Royaume-Uni"
"99634","99134","Espagne"
"99635","99135","Pays-Bas"
"99636","99136","Irlande"
"99637","99137","Luxembourg"
"99638","99138","Monaco"
"99639","99139","Portugal"
"99640","99140","Suisse"
"99641","99241","Laos"
"99643","99254","Chypre"
"99644","99144","Malte"
"99645","99341","Sénégal"
"99646","99323","Centrafrique"
"99650","99205","Liban"
"99651","99501","Australie"
"99653","99203","Irak"
"99654","99324","Congo"
"99655","99405","Mexique"
"99656","99156","Macédoine du Nord"
"99658","99208","Turquie"
"99661","99401","Canada"
"99662","99122","Pologne"
"99663","99223","Inde"
"99665","99425","Territoires britanniques dans les Antilles et Bermudes"
"99701","99101","Danemark"
"99702","99102","Islande"
"99703","99103","Norvège"
"99704","99104","Suède"
"99705","99105","Finlande"
"99706","99206","Syrie"
"99709","99109","Allemagne"
"99710","99110","Autriche"
"99711","99111","Bulgarie"
"99712","99112","Hongrie"
"99714","99314","Guinée équatoriale"
"99716","99216","Chine"
"99721","99321","Burundi"
"99722","99312","République démocratique du Congo"
"99727","99127","Italie"
"99731","99131","Belgique"
"99732","99132","Royaume-Uni"
"99734","99134","Espagne"
"99736","99336","Mauritanie"
"99739","99139","Portugal"
"99801","99301","Égypte"
"99834","99234","Cambodge"
