IRIS;DISP_TP6021;DISP_INCERT21;DISP_Q121;DISP_MED21;DISP_Q321;DISP_EQ21;DISP_D121;DISP_D221;DISP_D321;DISP_D421;DISP_D621;DISP_D721;DISP_D821;DISP_D921;DISP_RD21;DISP_S80S2021;DISP_GI21;DISP_PACT21;DISP_PTSA21;DISP_PCHO21;DISP_PBEN21;DISP_PPEN21;DISP_PPAT21;DISP_PPSOC21;DISP_PPFAM21;DISP_PPMINI21;DISP_PPLOGT21;DISP_PIMPOT21;DISP_NOTE21
692661803;32,0;1;12710;16700;23530;0,65;9600;11560;13530;15190;18890;21570;25270;30830;3,2;3,9;0,265;74,2;66,1;5,3;2,8;19,1;3,6;15,1;5,8;6,1;3,2;-12,0;0
692661804;37,0;2;11800;16850;24790;0,77;8230;10600;12640;14370;18850;22400;26520;32200;3,9;4,9;0,307;71,1;64,9;4,3;1,9;20,2;5,9;14,6;4,5;6,9;3,2;-11,8;0
692710101;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
692710102;7,0;1;20480;27110;35710;0,56;15440;18590;21730;24170;29920;33290;37980;45860;3,0;3,7;0,263;84,8;77,8;2,1;4,9;23,6;7,1;3,2;1,5;1,2;0,5;-18,7;0
692710103;15,0;1;17890;26710;37310;0,73;12040;15490;19450;23330;30390;34790;40410;50740;4,2;6,6;0,380;84,2;76,7;2,4;5,1;19,8;12,8;4,4;1,7;1,9;0,8;-21,2;0
692710104;4,0;1;22980;29980;38750;0,53;17280;20850;24150;26780;33070;36470;42090;53530;3,1;4,3;0,299;76,5;69,8;2,3;4,4;27,1;16,5;2,0;1,1;0,6;0,3;-22,1;0
692710105;3,0;2;26740;33520;41960;0,45;20250;25290;28230;30980;36810;39730;43920;50750;2,5;2,8;0,202;68,5;63,3;1,3;3,9;41,7;8,6;1,5;0,8;0,5;0,2;-20,3;0
692730101;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
692730102;8,0;1;19430;24690;31430;0,49;14600;17940;20730;22810;26660;29820;33200;38860;2,7;3,0;0,214;82,5;76,2;3,4;2,9;22,0;6,2;4,7;2,6;1,4;0,7;-15,4;0
692730103;10,0;1;18960;24810;31450;0,50;13870;17510;20150;22400;27080;29970;33180;39010;2,8;3,3;0,238;74,8;68,6;2,7;3,5;27,8;8,3;4,6;2,2;1,7;0,7;-15,5;0
692730104;7,0;1;21050;26620;33250;0,46;16060;19510;22360;24460;28950;31540;34910;39840;2,5;3,2;0,226;74,7;70,4;2,3;2,0;33,5;8,1;3,6;2,0;1,2;0,4;-19,9;0
692750101;15,0;1;16570;22060;28230;0,53;12200;15280;17810;20070;24060;26730;29990;35340;2,9;3,5;0,242;82,8;75,5;3,5;3,8;19,8;5,3;7,2;2,8;3,0;1,4;-15,1;0
692750102;25,0;1;13810;19300;25210;0,59;10700;12990;14970;17410;21500;23820;26770;31820;3,0;3,4;0,237;69,0;63,2;4,1;1,7;29,0;3,9;9,5;3,3;4,3;1,9;-11,4;0
692750103;15,0;2;16690;21960;27170;0,48;12450;15420;17870;20160;23820;25780;28870;33970;2,7;3,2;0,221;76,0;69,4;3,5;3,1;26,7;4,2;6,5;2,4;2,9;1,2;-13,4;0
692750104;13,0;2;17460;23530;29430;0,51;12710;16000;18800;21270;25170;27900;30820;37470;2,9;3,4;0,233;77,9;71,7;2,9;3,3;23,9;7,1;6,2;2,3;2,9;1,0;-15,1;0
692750105;39,0;2;11700;15440;20990;0,60;8990;10710;12390;13930;17580;20030;22330;27500;3,1;3,4;0,246;61,7;55,2;5,1;1,4;25,7;2,4;19,5;6,3;9,2;4,0;-9,3;0
692750106;7,0;2;19250;25720;32610;0,52;14870;17860;20700;23490;27890;31140;34710;41440;2,8;3,5;0,251;75,8;69,1;2,9;3,8;26,7;10,9;3,6;2,0;1,2;0,4;-17,0;0
692750107;11,0;2;18500;24090;30400;0,49;13770;16920;19600;22190;26340;28980;32220;37830;2,7;3,2;0,222;71,8;66,6;2,6;2,6;30,6;7,0;5,4;2,4;2,3;0,7;-14,8;0
692750108;7,0;2;20630;26520;33300;0,48;15400;19420;21890;24040;28860;31730;35060;42820;2,8;3,3;0,232;74,4;69,8;1,9;2,7;29,9;9,1;3,5;2,0;1,0;0,5;-16,9;0
692750109;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
692750110;20,0;1;14940;21480;28460;0,63;10720;13690;16360;18910;23850;26710;30660;36660;3,4;4,0;0,267;75,7;69,2;3,4;3,1;24,5;6,3;7,6;2,6;3,5;1,5;-14,1;0
692750111;nd;so;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;so;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so
692750112;nd;so;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;so;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so
692760101;17,0;2;15540;21410;26530;0,51;10930;14490;16870;18920;23570;25730;28310;32440;3,0;3,2;0,226;77,3;71,6;3,5;2,2;18,7;3,9;8,5;3,6;3,6;1,3;-8,4;0
692760102;11,0;1;18410;24410;30860;0,51;13470;16840;19520;21870;26740;29440;33010;38250;2,8;3,3;0,229;76,3;70,9;2,9;2,5;26,6;6,3;5,4;2,6;2,0;0,8;-14,6;0
692760103;29,0;2;13370;18390;23850;0,57;10260;12480;14020;16480;20530;22550;25550;30930;3,0;3,5;0,245;74,9;67,0;4,6;3,3;19,5;3,3;13,7;5,3;5,6;2,8;-11,4;0
692770101;5,0;1;22860;29330;37930;0,51;16520;21020;24300;26950;32130;35830;40980;53100;3,2;4,0;0,278;77,9;71,3;2,8;3,8;28,0;10,4;2,5;1,2;0,9;0,4;-18,8;0
692770102;7,0;1;22870;31370;41100;0,58;15850;20910;24360;27590;34520;38810;43980;53960;3,4;4,6;0,304;79,3;72,5;2,3;4,5;23,6;16,2;2,4;1,0;1,0;0,4;-21,5;0
692770103;5,0;1;23330;30250;40040;0,55;17570;21910;24770;27720;33390;37370;42630;50880;2,9;3,4;0,242;86,9;80,9;2,8;3,2;20,8;9,4;2,6;1,4;0,8;0,4;-19,7;0
