CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,RN,EXD,DLF,LR,DVD,DVC,ENS,MODEM,UDI,UG,LFI,PS,DVG,EELV,PCF,EXG,REG,AUTRE,score_RN,score_EXD,score_DLF,score_LR,score_DVD,score_DVC,score_ENS,score_MODEM,score_UDI,score_UG,score_LFI,score_PS,score_DVG,score_EELV,score_PCF,score_EXG,score_REG,score_AUTRE,pct_abstention,score_blanc,score_nul
013540101,2742,1031,1711,6.0,6,1019,0,0,0,0,422,0,0,0,0,0,0,0,441,156,0,0,0,0,0.0,0.0,0.0,0.0,41.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.28,15.31,0.0,0.0,0.0,0.0,62.4,0.59,0.59
013540102,1173,482,691,5.0,3,474,0,0,0,0,174,0,0,0,0,0,0,0,226,74,0,0,0,0,0.0,0.0,0.0,0.0,36.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.68,15.61,0.0,0.0,0.0,0.0,58.91,1.05,0.63
013540103,1100,394,706,1.0,6,387,0,0,0,0,138,0,0,0,0,0,0,0,200,49,0,0,0,0,0.0,0.0,0.0,0.0,35.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.68,12.66,0.0,0.0,0.0,0.0,64.18,0.26,1.55
013570000,293,60,233,1.0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,79.52,1.72,1.72
013700000,968,493,475,16.0,6,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,49.07,3.4,1.27
013780000,2233,1103,1130,10.0,7,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.6,0.92,0.64
013850000,775,288,487,8.0,23,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.4,62.84,3.11,8.95
013870000,169,133,36,0.0,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.64,21.3,0.0,0.76
013890000,1351,633,718,5.0,2,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,53.15,0.8,0.32
013930000,411,254,157,1.0,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.66,38.2,0.4,0.8
020030000,812,517,295,1.0,3,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,36.33,0.19,0.58
020080000,211,132,79,1.0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37.44,0.76,0.0
020090000,391,81,310,3.0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,79.28,3.9,1.3
020200000,366,246,120,0.0,3,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.66,32.79,0.0,1.23
