CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,RN,EXD,LR,DVD,DVC,MODEM,UDI,UG,PS,DVG,EELV,PCF,EXG,AUTRE,score_RN,score_EXD,score_LR,score_DVD,score_DVC,score_MODEM,score_UDI,score_UG,score_PS,score_DVG,score_EELV,score_PCF,score_EXG,score_AUTRE,pct_abstention,score_blanc,score_nul
012490102,3816,2176,1640,0.0,49,2127,0,0,0,924,0,0,0,0,0,1203,0,0,0,0,0.0,0.0,0.0,43.44,0.0,0.0,0.0,0.0,0.0,56.56,0.0,0.0,0.0,0.0,42.98,0.0,2.3
012490103,2710,1592,1118,0.0,38,1554,0,0,0,755,0,0,0,0,0,799,0,0,0,0,0.0,0.0,0.0,48.58,0.0,0.0,0.0,0.0,0.0,51.42,0.0,0.0,0.0,0.0,41.25,0.0,2.45
012620101,4393,2874,1519,0.0,87,2787,0,0,0,1577,0,0,0,0,1210,0,0,0,0,0,0.0,0.0,0.0,56.58,0.0,0.0,0.0,0.0,43.42,0.0,0.0,0.0,0.0,0.0,34.58,0.0,3.12
012620102,1829,1185,644,0.0,34,1151,0,0,0,548,0,0,0,0,603,0,0,0,0,0,0.0,0.0,0.0,47.61,0.0,0.0,0.0,0.0,52.39,0.0,0.0,0.0,0.0,0.0,35.21,0.0,2.95
012630000,2678,1764,914,0.0,35,1729,0,0,0,1729,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.13,0.0,2.02
012680000,209,207,2,0.0,45,162,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.3,0.96,0.0,27.78
012800000,124,99,25,0.0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.69,20.16,0.0,0.0
012900000,958,685,273,0.0,5,680,0,0,0,171,0,0,0,0,0,0,290,0,0,219,0.0,0.0,0.0,25.15,0.0,0.0,0.0,0.0,0.0,0.0,42.65,0.0,0.0,32.21,28.5,0.0,0.74
012970000,611,459,152,0.0,5,454,0,0,0,0,0,0,0,0,0,0,0,0,0,2232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.63,24.88,0.0,1.1
013020000,145,102,43,0.0,7,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.21,29.66,0.0,7.37
